# Alert SMARTS patterns selected to be used as filters
Alert Name,Alert SMARTS
ALERT_PAINS_c_dhp_amino_CN_A,"[NH2]C1=C(C#N)[C;H,H2](cc)C([C;H2,H3])=C(C=C)O1"
ALERT_PAINS_c_dhp_amino_CN_B,"[NH2,$([OH])]C2=C(C#N)[CH](cc)c1c(n([#6])nc1)O2"
ALERT_PAINS_c_dhp_amino_CN_C,[NH2]C1=C(C#N)[CH](cc)C(C#N)=C(cc)O1
ALERT_PAINS_c_dhp_amino_CN_D,[NH2]C2=C(C#N)[CH](cc)c1c(ccs1)O2
ALERT_PAINS_c_dhp_amino_CN_E,"[C;H2,H3][SX2]C1=C(C#N)[CH](cc)C(C#N)C(=O)N1"
ALERT_PAINS_c_dhp_amino_CN_F,"[NH2]C2=C(C#N)[CH](c1cccs1)C(C(=O)O[#6])=C([C;H2,H3])O2"
ALERT_PAINS_c_dhp_amino_CN_G,"[SX2]1C=C(C#N)C([#6])(C=O)C([$(C=O),$(C#N)])=C1[NH2]"
ALERT_PAINS_c_dhp_amino_CN_H,[NH2]C1=C(C#N)[CH](cc)S[CX4]S1
ALERT_PAINS_c_dhp_keto_A,"[NH,$([N][CX4])]1[#6]:,=[#6]([#6](=O)ccc)C([#6])C([$(C=O),$(C#N)])=C1[CH3]"
ALERT_PAINS_c_diazox_C,N2=Nc1n[!#6]nc1N=Ncc2
ALERT_PAINS_c_diazox_D,[CH]2([OH])c1n[!#6]nc1[CH]([OH])C=C2
ALERT_PAINS_c_dyes7A,"c1ccccc1N([C;H2,H3])[CH]=[CH]C=!@[CH][CH]=CC=@Nc2ccccc2"
ALERT_PAINS_c_ene_cyano_B,C2(c1c(cc(c(n1)[NH2])C#N)C(C=2)=C)C#N
ALERT_PAINS_c_ene_cyano_D,C(C#N)(C#N)=C(S)S
ALERT_PAINS_c_ene_cyano_F,[OH]C(=O)c1c([OH])[cH]c([cH][cH]1)c2[cH][cH]c(o2)[CH]=C(C#N)c3nccn3
ALERT_PAINS_c_ene_cyano_G,n2([#6])[cH][cH][cH]c2[CH]=C(C#N)c1nccs1
ALERT_PAINS_c_ene_five_het_G,"C3(=O)C(=[CH][$(c1ccccc1),$(c2ccc[!#6]2)])N=C(aaa)[S,$([N]aa)]3"
ALERT_PAINS_c_ene_five_het_H,N1=CC(C(N1)=S)=C
ALERT_PAINS_c_ene_five_het_I,c1(ccco1)[CH]=!@C3C(=O)c2c(cccc2)[!C]3
ALERT_PAINS_c_ene_five_het_J,"S=c1[nH]ccc2c1C(=O)OC2=[C;H,H2]"
ALERT_PAINS_c_ene_five_het_M,"[#6]1[O,S]C(C([#6]=,:1)=O)=CC=O"
ALERT_PAINS_c_ene_five_het_N,"C2(=O)C(=[CH]c1cc([F,Cl,Br,I])ccc1O[C;H2,H3])N=C(S[C;H2,H3])S2"
ALERT_PAINS_c_ene_five_one_B,"[cH]2[cH][cH][cH]c1[CH2]C(=O)C(=C([C;H2,H3])[C;H2,H3])c12"
ALERT_PAINS_c_ene_misc_A,C1C(OC(C=1)(O)[#6])O
ALERT_PAINS_c_ene_misc_D,"c12[cH]c(O[C;H2,H3])c(O[C;H2,H3])[cH]c1C([#6])=C([#6])S[CH2]2"
ALERT_PAINS_c_ene_misc_E,"c2(O[C;H2,H3])c(O[C;H2,H3])[cH]c1C=C[CH]Sc1[cH]2"
ALERT_PAINS_c_ene_one_C,C1(=O)C(C(C#N)=[CH][#7])C([#7])C=C1
ALERT_PAINS_c_ene_one_amide_B,"c23ccc1ccccc1c2[C;H,H2][CX4]NC3=[CH]C(=O)N([C;H2,H3])[C;H2,H3]"
ALERT_PAINS_c_ene_one_one_A,O=CC1=C(SC(=[CH][#6])S1)C=O
ALERT_PAINS_c_ene_one_one_B,"C1(C(=O)[CH2]C[CH2]C(=O)1)=C([N;H,H2])C=O"
ALERT_PAINS_c_ene_one_yne_A,C#CC(=O)C#C
ALERT_PAINS_c_ene_quin_methide,"aa[CH,$(CC#N)]=C1[#6]:,=[#6]C(=[O,$([N;!R])])[#6]:,=[#6]1"
ALERT_PAINS_c_ene_rhod_C,"S1C(=Ncc)[NH,NH2,$(N[CH2][CH2]O),$(Ncc)]C(=O)C1=[CH][$(ccc[Cl]),$(c[!#6])]"
ALERT_PAINS_c_ene_rhod_E,S1C(=O)NC(=S)C1=[CH]cc
ALERT_PAINS_c_ene_rhod_F,"n2ccc([CH]=C1C(=O)NC(=[!C])N1)c2[C;H2,H3]"
ALERT_PAINS_c_ene_rhod_G,[OH]C(=O)c1cccc(c1)cac[CH]=C2C(=[!C])NC(=[!C])[!C]2
